gender,seniorcitizen,dependents,tenure,phoneservice,multiplelines,internetservice,contract,monthlycharges,churn
male,1,no,1,no,yes,fiber optic,month-to-month,40,yes
female,0,yes,46,yes,yes,fiber optic,month-to-month,91,no
male,0,no,20,yes,no,dsl,month-to-month,108,no
female,1,no,20,yes,no,dsl,two year,86,yes
female,1,no,37,yes,yes,dsl,one year,76,yes
female,0,yes,24,yes,yes,fiber optic,one year,20,no
male,0,yes,29,yes,no,fiber optic,month-to-month,95,yes
female,0,no,21,yes,yes,fiber optic,month-to-month,104,yes
male,0,yes,19,yes,no,dsl,two year,103,yes
female,0,no,54,yes,no,dsl,two year,81,no
male,0,no,2,yes,no,fiber optic,month-to-month,19,yes
female,1,no,27,yes,no,fiber optic,month-to-month,104,yes
male,0,no,46,no,yes,dsl,two year,61,no
female,0,no,18,yes,no,dsl,two year,20,no
female,0,yes,52,yes,yes,fiber optic,month-to-month,20,no
female,0,yes,43,yes,no,dsl,month-to-month,56,yes
female,0,no,3,yes,no,dsl,two year,20,no
male,0,no,4,yes,yes,dsl,one year,45,no
male,0,yes,6,yes,yes,fiber optic,month-to-month,84,yes
male,1,no,35,yes,yes,fiber optic,one year,101,no
female,0,yes,68,no,no,dsl,month-to-month,60,no
female,0,no,5,yes,no,dsl,month-to-month,96,yes
female,0,no,3,yes,no,dsl,month-to-month,45,no
female,1,no,4,yes,yes,dsl,one year,73,no
female,0,no,4,yes,no,dsl,month-to-month,25,no
female,0,no,2,yes,no,dsl,month-to-month,80,yes
male,0,yes,40,yes,yes,fiber optic,month-to-month,110,no
male,0,no,10,yes,no,dsl,month-to-month,95,no
male,1,no,24,yes,no,fiber optic,month-to-month,80,no
female,1,no,72,yes,no,dsl,two year,107,no
female,0,no,24,yes,no,dsl,month-to-month,99,yes
female,0,no,72,yes,no,dsl,two year,87,no
female,0,no,1,yes,no,fiber optic,month-to-month,52,yes
female,0,no,18,yes,yes,dsl,month-to-month,88,yes
male,0,no,4,no,no,dsl,month-to-month,40,no
male,1,no,36,yes,no,fiber optic,month-to-month,91,yes
female,0,no,11,yes,no,dsl,two year,75,no
male,0,no,1,yes,yes,dsl,month-to-month,70,yes
male,0,no,42,yes,no,dsl,two year,80,no
female,1,no,16,yes,yes,dsl,two year,85,yes
male,0,no,50,yes,yes,fiber optic,month-to-month,114,no
female,0,no,1,no,no,dsl,month-to-month,25,yes
female,0,yes,38,yes,no,fiber optic,month-to-month,20,no
male,1,yes,24,yes,no,dsl,two year,80,no
male,0,yes,31,yes,no,dsl,two year,60,no
male,0,yes,8,yes,no,fiber optic,month-to-month,19,no
female,1,no,43,yes,no,dsl,month-to-month,108,yes
female,0,no,57,yes,yes,fiber optic,two year,70,no
female,0,yes,13,yes,no,dsl,two year,21,no
male,0,no,40,yes,yes,fiber optic,one year,90,no
male,0,yes,23,yes,no,fiber optic,month-to-month,20,no
female,0,yes,72,yes,no,dsl,month-to-month,84,no
female,0,no,55,yes,yes,fiber optic,month-to-month,84,no
male,0,no,48,yes,yes,dsl,two year,111,no
male,0,no,1,yes,yes,dsl,two year,75,yes
female,0,yes,36,yes,no,fiber optic,month-to-month,97,yes
male,0,no,11,yes,no,dsl,month-to-month,69,no
female,0,no,1,yes,no,fiber optic,one year,85,no
female,0,no,53,yes,no,fiber optic,month-to-month,98,yes
male,0,no,70,no,yes,dsl,month-to-month,51,no
male,0,no,12,yes,yes,fiber optic,month-to-month,96,no
male,0,no,22,yes,no,dsl,month-to-month,95,yes
female,0,yes,55,yes,no,dsl,one year,69,no
female,1,no,28,yes,yes,fiber optic,month-to-month,64,no
female,0,yes,58,yes,no,dsl,month-to-month,20,no
male,0,no,19,yes,no,fiber optic,month-to-month,20,no
female,0,no,19,yes,yes,fiber optic,month-to-month,95,yes
male,0,no,31,yes,no,fiber optic,month-to-month,72,no
female,0,no,13,yes,no,dsl,two year,89,yes
male,0,no,1,yes,no,dsl,month-to-month,20,yes
male,0,yes,1,yes,yes,fiber optic,month-to-month,71,yes
female,1,no,18,yes,no,dsl,month-to-month,74,no
male,0,no,13,yes,no,dsl,two year,20,no
female,0,yes,2,yes,no,dsl,month-to-month,20,no
male,0,no,70,yes,no,dsl,month-to-month,65,no
male,1,no,44,yes,no,fiber optic,one year,19,no
female,0,yes,4,yes,no,dsl,one year,21,no
male,0,no,65,yes,no,fiber optic,month-to-month,76,no
female,1,no,71,yes,no,dsl,one year,100,no
female,0,yes,64,yes,no,fiber optic,one year,54,no
female,0,no,28,yes,no,dsl,month-to-month,92,yes
female,1,no,16,yes,no,fiber optic,month-to-month,96,yes
female,0,yes,70,yes,yes,dsl,one year,114,yes
female,0,yes,39,yes,no,dsl,month-to-month,82,no
male,0,no,19,yes,yes,dsl,one year,45,no
female,0,no,60,yes,yes,dsl,month-to-month,105,no
male,0,no,51,yes,no,dsl,two year,90,no
female,1,no,56,yes,yes,dsl,one year,110,no
male,0,no,66,yes,yes,fiber optic,two year,105,yes
female,0,yes,58,no,yes,dsl,two year,56,no
female,0,yes,69,yes,yes,fiber optic,one year,59,no
female,0,no,27,yes,no,dsl,month-to-month,56,no
female,0,no,1,yes,no,dsl,two year,49,no
female,0,no,6,yes,no,dsl,month-to-month,20,no
female,0,no,7,no,no,fiber optic,month-to-month,25,no
male,1,no,8,yes,no,dsl,month-to-month,70,yes
male,0,yes,15,yes,yes,dsl,two year,70,no
male,0,no,9,yes,no,fiber optic,month-to-month,20,no
male,0,no,12,yes,no,fiber optic,month-to-month,67,no
female,0,no,25,yes,yes,fiber optic,two year,71,no
female,0,yes,28,yes,no,dsl,two year,81,yes
female,0,no,49,yes,no,dsl,two year,101,no
male,1,no,57,no,yes,fiber optic,month-to-month,45,yes
male,0,no,11,yes,yes,fiber optic,one year,21,no
female,0,yes,37,yes,no,fiber optic,month-to-month,95,no
male,0,no,40,yes,yes,dsl,month-to-month,101,yes
male,0,no,54,no,yes,fiber optic,one year,45,no
male,0,no,12,yes,no,dsl,two year,85,no
male,0,no,4,yes,no,fiber optic,two year,55,no
male,0,yes,66,yes,no,fiber optic,month-to-month,103,no
male,0,yes,70,no,no,dsl,one year,60,no
female,0,no,1,yes,yes,fiber optic,one year,75,yes
male,0,no,58,yes,no,dsl,two year,103,yes
male,1,no,47,yes,yes,dsl,two year,86,no
female,1,no,4,yes,yes,fiber optic,one year,79,yes
female,0,yes,57,yes,no,dsl,month-to-month,59,no
female,0,no,15,yes,no,dsl,two year,94,no
female,0,no,24,yes,no,dsl,one year,90,no
female,0,no,20,yes,no,dsl,two year,19,no
male,1,no,61,yes,yes,dsl,month-to-month,98,no
female,0,no,16,no,no,fiber optic,month-to-month,50,yes
female,0,no,72,yes,yes,dsl,two year,98,no
female,1,no,14,no,no,dsl,month-to-month,40,no
male,0,no,2,yes,yes,fiber optic,month-to-month,46,yes
male,0,yes,64,yes,no,dsl,one year,92,no
male,0,no,30,yes,yes,fiber optic,two year,20,no
male,0,no,64,yes,yes,fiber optic,one year,89,no
male,0,no,61,yes,no,fiber optic,month-to-month,112,yes
female,0,yes,50,yes,yes,dsl,month-to-month,84,no
female,0,no,47,yes,no,fiber optic,month-to-month,95,no
male,0,no,51,yes,yes,fiber optic,month-to-month,60,no
female,0,no,37,yes,no,dsl,two year,91,no
female,1,no,64,yes,yes,fiber optic,month-to-month,97,no
male,0,no,60,no,yes,fiber optic,month-to-month,60,no
male,0,no,1,yes,yes,fiber optic,one year,20,no
male,0,no,14,yes,no,dsl,month-to-month,82,no
female,0,no,1,yes,no,dsl,two year,76,yes
female,0,yes,17,yes,no,dsl,one year,88,yes
male,0,no,63,yes,yes,dsl,one year,104,no
female,0,yes,72,yes,no,dsl,one year,26,no
male,0,yes,29,yes,yes,fiber optic,two year,101,no
female,0,yes,18,yes,no,dsl,month-to-month,62,no
male,1,no,38,yes,no,dsl,one year,70,yes
male,1,no,26,yes,yes,dsl,two year,19,no
male,1,no,70,yes,no,dsl,month-to-month,105,no
female,0,no,7,yes,no,fiber optic,month-to-month,79,yes
female,0,no,22,yes,yes,fiber optic,month-to-month,21,no
female,0,yes,25,yes,yes,fiber optic,month-to-month,55,no
male,0,no,33,no,yes,dsl,one year,39,no
male,1,no,27,yes,no,fiber optic,month-to-month,96,yes
male,0,yes,15,yes,yes,fiber optic,month-to-month,75,yes
female,0,no,41,yes,no,dsl,month-to-month,25,no
male,0,no,38,yes,yes,fiber optic,month-to-month,95,no
male,1,no,44,yes,no,fiber optic,month-to-month,89,no
male,0,yes,66,yes,no,dsl,month-to-month,20,no
male,0,yes,19,yes,no,dsl,two year,21,no
male,0,no,17,yes,no,dsl,one year,90,yes
male,0,no,7,yes,no,dsl,month-to-month,75,no
female,1,no,21,yes,yes,fiber optic,month-to-month,72,no
male,0,no,61,yes,yes,dsl,month-to-month,94,yes
female,0,no,4,yes,yes,fiber optic,month-to-month,51,no
male,0,yes,58,yes,yes,dsl,two year,75,no
female,0,yes,21,no,yes,dsl,month-to-month,56,yes
male,0,yes,60,yes,yes,fiber optic,month-to-month,20,no
female,0,no,43,yes,no,fiber optic,month-to-month,26,no
male,1,no,36,yes,yes,fiber optic,month-to-month,85,yes
female,1,no,57,no,yes,fiber optic,month-to-month,55,no
male,0,no,24,yes,yes,fiber optic,month-to-month,55,no
male,0,yes,68,yes,no,dsl,two year,105,no
male,0,no,72,yes,yes,dsl,one year,95,no
male,0,no,9,no,yes,fiber optic,month-to-month,40,no
male,0,yes,66,yes,yes,fiber optic,month-to-month,80,no
female,0,no,8,yes,no,dsl,month-to-month,74,no
female,0,yes,50,yes,no,fiber optic,one year,103,no
female,0,no,10,yes,yes,dsl,two year,76,no
male,0,no,54,no,yes,fiber optic,month-to-month,30,no
female,0,no,1,yes,yes,dsl,two year,80,yes
male,0,no,71,yes,no,fiber optic,month-to-month,109,no
male,0,yes,4,yes,yes,fiber optic,month-to-month,101,yes
male,0,no,33,yes,yes,dsl,two year,55,no
male,1,no,10,yes,yes,fiber optic,one year,87,yes
female,0,no,72,no,no,dsl,month-to-month,49,no
female,1,no,1,yes,yes,dsl,one year,21,yes
female,0,no,67,yes,yes,dsl,two year,26,no
female,0,no,22,yes,yes,dsl,two year,80,no
male,0,no,62,yes,no,dsl,two year,97,yes
female,1,no,21,no,yes,dsl,month-to-month,42,yes
female,0,yes,68,yes,no,fiber optic,month-to-month,112,no
male,0,no,7,yes,yes,dsl,month-to-month,98,yes
female,0,no,58,yes,yes,dsl,one year,80,no
female,0,yes,23,yes,no,dsl,two year,84,no
male,1,no,71,yes,no,dsl,month-to-month,24,no
female,0,no,41,yes,yes,fiber optic,month-to-month,86,no
female,0,yes,0,no,no,dsl,two year,56,no
male,0,no,61,no,no,dsl,one year,62,no
female,0,yes,46,yes,yes,fiber optic,two year,100,no
female,0,no,6,yes,no,dsl,month-to-month,21,no
male,0,no,7,yes,yes,dsl,one year,94,yes
male,0,no,21,yes,yes,fiber optic,month-to-month,74,no
female,1,no,13,yes,no,dsl,two year,95,yes
female,0,yes,22,yes,yes,fiber optic,two year,83,yes
female,0,no,26,yes,no,dsl,one year,69,no
male,0,no,4,no,no,dsl,two year,42,no
female,0,yes,63,yes,yes,fiber optic,one year,20,no
male,1,no,5,yes,yes,fiber optic,month-to-month,80,yes
female,0,no,6,yes,no,dsl,month-to-month,20,no
female,0,no,55,yes,yes,fiber optic,month-to-month,94,no
male,0,yes,51,yes,yes,fiber optic,month-to-month,76,no
female,0,yes,56,yes,yes,fiber optic,two year,69,no
male,0,no,18,yes,no,fiber optic,month-to-month,20,no
male,0,no,72,yes,no,dsl,month-to-month,106,no
female,0,yes,19,yes,yes,dsl,two year,50,no
male,1,no,22,yes,yes,fiber optic,month-to-month,97,yes
female,0,no,41,no,yes,dsl,two year,35,no
male,0,yes,5,yes,yes,dsl,one year,19,no
female,0,no,57,yes,yes,dsl,month-to-month,74,no
male,1,no,29,yes,yes,dsl,one year,101,no
female,0,yes,33,yes,no,dsl,two year,94,yes
female,0,no,72,yes,no,dsl,month-to-month,98,no
male,0,no,31,yes,no,dsl,two year,89,no
male,1,no,52,yes,no,dsl,one year,104,no
male,0,yes,35,yes,no,fiber optic,month-to-month,20,no
female,0,yes,7,yes,no,fiber optic,month-to-month,20,no
female,0,no,22,yes,no,fiber optic,month-to-month,55,no
male,0,no,6,yes,no,dsl,one year,75,yes
female,0,no,60,no,no,dsl,two year,38,no
male,0,yes,24,yes,yes,fiber optic,month-to-month,20,no
female,1,no,31,yes,yes,fiber optic,month-to-month,74,no
male,0,no,26,yes,yes,dsl,month-to-month,86,no
male,0,yes,1,yes,yes,dsl,month-to-month,70,yes
male,0,yes,40,yes,no,dsl,two year,20,no
male,0,yes,10,yes,yes,fiber optic,one year,20,no
female,0,yes,70,yes,yes,dsl,month-to-month,19,no
male,0,no,3,yes,no,fiber optic,month-to-month,55,yes
male,1,no,46,yes,yes,fiber optic,one year,85,yes
male,0,no,59,yes,no,dsl,month-to-month,110,yes
female,1,no,48,yes,no,dsl,month-to-month,71,no
male,0,no,59,yes,yes,fiber optic,two year,19,yes
female,0,no,29,no,no,dsl,month-to-month,31,yes
female,1,no,8,yes,no,dsl,month-to-month,20,yes
female,0,yes,9,yes,yes,fiber optic,one year,20,no
female,0,no,8,yes,no,fiber optic,month-to-month,58,no
female,0,no,28,yes,no,dsl,month-to-month,90,yes
female,0,yes,20,yes,yes,dsl,month-to-month,76,no
female,1,no,56,yes,no,fiber optic,month-to-month,105,yes
female,0,no,49,no,yes,dsl,two year,41,no
female,0,no,5,yes,no,fiber optic,one year,89,yes
female,0,no,18,yes,no,dsl,two year,90,yes
male,0,yes,71,yes,yes,fiber optic,two year,90,no
male,0,no,20,yes,yes,fiber optic,month-to-month,89,yes
male,0,no,40,no,no,dsl,two year,42,yes
female,0,no,18,yes,yes,fiber optic,month-to-month,61,no
female,0,yes,38,yes,no,fiber optic,two year,20,no
female,1,no,67,yes,yes,fiber optic,month-to-month,106,no
female,0,yes,17,yes,no,dsl,one year,55,no
male,0,no,1,no,yes,fiber optic,two year,35,yes
male,0,no,68,yes,no,dsl,one year,25,no
male,0,no,35,yes,no,dsl,month-to-month,83,no
female,0,no,3,yes,no,dsl,one year,76,yes
female,0,no,8,yes,no,fiber optic,two year,90,no
male,0,no,29,yes,no,dsl,two year,71,no
female,0,no,2,no,no,dsl,month-to-month,35,yes
female,1,no,53,yes,yes,dsl,one year,74,no
male,0,yes,1,no,yes,dsl,two year,25,yes
female,0,no,7,yes,yes,fiber optic,month-to-month,75,no
female,0,yes,4,yes,no,dsl,month-to-month,20,no
female,0,no,29,yes,yes,dsl,two year,76,no
female,0,no,3,yes,yes,fiber optic,one year,75,yes
female,1,no,1,no,no,dsl,one year,26,yes
male,0,no,7,no,yes,fiber optic,two year,35,no
female,0,no,52,yes,no,dsl,one year,111,yes
male,0,yes,72,yes,yes,fiber optic,month-to-month,92,no
male,0,no,55,yes,yes,fiber optic,month-to-month,97,yes
male,0,no,1,yes,no,fiber optic,month-to-month,20,no
female,0,no,6,yes,no,fiber optic,month-to-month,20,no
female,0,yes,29,yes,no,dsl,two year,20,no
male,0,yes,42,no,no,dsl,month-to-month,48,no
female,0,no,30,no,yes,fiber optic,two year,40,no
male,0,no,1,yes,yes,dsl,two year,51,yes
male,0,no,72,yes,yes,dsl,month-to-month,86,no
female,0,no,4,yes,yes,dsl,two year,51,yes
male,0,yes,1,no,no,fiber optic,month-to-month,25,no
female,0,no,1,yes,no,dsl,one year,69,yes
male,0,no,1,yes,yes,fiber optic,one year,74,yes
male,0,no,62,yes,yes,dsl,month-to-month,80,no
female,0,no,15,yes,no,fiber optic,month-to-month,101,yes
male,0,yes,1,yes,no,dsl,month-to-month,19,no
female,0,no,68,yes,yes,dsl,two year,20,no
female,0,no,7,yes,no,fiber optic,month-to-month,75,no
female,0,no,72,yes,yes,fiber optic,one year,88,no
male,0,no,72,yes,no,dsl,two year,87,no
female,0,no,30,yes,no,dsl,month-to-month,94,yes
male,0,no,1,yes,no,fiber optic,month-to-month,84,yes
female,0,no,39,no,no,dsl,one year,41,no
male,0,no,62,yes,yes,dsl,month-to-month,92,no
female,0,no,53,yes,yes,dsl,two year,109,no
male,0,no,66,yes,yes,dsl,two year,104,yes
female,1,yes,59,yes,yes,fiber optic,month-to-month,89,no
male,0,no,15,yes,yes,dsl,month-to-month,96,no
male,0,no,9,yes,no,dsl,two year,96,yes
female,0,no,32,no,yes,dsl,one year,30,no
female,0,yes,17,yes,yes,fiber optic,month-to-month,65,yes
male,0,yes,55,yes,no,dsl,month-to-month,55,no
male,0,no,17,no,no,fiber optic,month-to-month,26,no
female,1,no,69,yes,no,dsl,two year,87,no
male,0,no,66,yes,no,dsl,two year,75,no
male,1,no,16,yes,no,dsl,month-to-month,74,no
male,0,yes,70,yes,yes,dsl,two year,80,no
female,0,no,50,yes,yes,dsl,two year,19,no
female,0,no,3,yes,no,fiber optic,month-to-month,20,no
male,0,no,17,yes,yes,fiber optic,month-to-month,66,no
male,0,yes,20,yes,yes,fiber optic,month-to-month,97,no
male,0,yes,71,yes,yes,fiber optic,one year,20,no
female,0,no,34,yes,yes,fiber optic,month-to-month,105,no
female,0,yes,43,yes,no,fiber optic,one year,25,no
male,1,no,50,yes,no,dsl,month-to-month,102,no
female,0,yes,41,yes,no,dsl,two year,102,no
male,0,no,54,yes,no,dsl,two year,80,no
female,0,no,64,yes,no,dsl,month-to-month,19,no
male,0,yes,31,yes,yes,fiber optic,two year,54,no
male,1,no,11,yes,yes,fiber optic,month-to-month,78,no
female,0,no,4,yes,no,dsl,two year,86,yes
female,0,yes,21,no,no,dsl,month-to-month,53,no
female,0,yes,35,yes,yes,fiber optic,month-to-month,24,no
female,0,yes,58,yes,yes,fiber optic,month-to-month,99,no
male,0,yes,20,yes,no,fiber optic,month-to-month,20,no
female,0,no,60,yes,no,dsl,two year,25,no
female,0,yes,41,yes,yes,dsl,month-to-month,20,no
female,0,no,15,yes,yes,fiber optic,month-to-month,51,no
male,0,no,1,yes,no,dsl,month-to-month,44,no
male,0,no,66,yes,yes,dsl,one year,100,yes
female,1,yes,1,yes,yes,fiber optic,month-to-month,69,yes
male,0,yes,2,yes,no,dsl,two year,44,no
female,0,no,32,yes,yes,dsl,month-to-month,84,yes
female,1,no,72,yes,no,dsl,month-to-month,78,no
male,0,no,62,yes,no,dsl,month-to-month,96,no
male,1,no,9,yes,no,dsl,month-to-month,80,no
male,0,no,4,yes,no,dsl,month-to-month,86,no
male,0,yes,30,yes,no,fiber optic,month-to-month,82,no
male,0,no,40,yes,no,dsl,month-to-month,104,yes
male,0,yes,33,yes,yes,fiber optic,month-to-month,20,no
male,0,no,63,yes,yes,dsl,two year,80,no
female,0,yes,64,yes,yes,fiber optic,two year,20,no
male,0,no,5,yes,yes,dsl,one year,97,no
female,0,no,7,yes,no,dsl,month-to-month,20,yes
male,0,no,10,yes,no,dsl,two year,80,no
female,0,yes,63,yes,no,dsl,one year,101,yes
male,0,yes,20,no,no,dsl,one year,39,no
female,0,no,38,yes,no,dsl,one year,84,no
female,1,no,66,yes,no,dsl,two year,108,no
male,0,no,13,yes,no,dsl,one year,91,yes
female,0,no,24,yes,no,dsl,month-to-month,66,no
male,1,no,23,yes,yes,dsl,month-to-month,104,no
female,1,yes,32,yes,no,dsl,month-to-month,91,no
female,0,yes,51,no,no,dsl,month-to-month,60,no
female,0,no,40,yes,no,dsl,month-to-month,19,no
female,0,no,22,yes,no,dsl,month-to-month,59,no
male,0,yes,1,yes,no,dsl,two year,70,no
female,1,no,6,yes,no,dsl,month-to-month,89,no
male,0,no,1,yes,no,dsl,two year,20,yes
female,0,no,4,yes,no,fiber optic,month-to-month,20,no
female,0,no,60,yes,no,fiber optic,month-to-month,106,yes
male,1,no,72,no,no,dsl,two year,65,no
female,0,no,42,yes,no,dsl,month-to-month,60,no
female,0,no,2,yes,no,dsl,month-to-month,62,no
male,0,no,69,no,yes,dsl,one year,60,no
male,0,no,2,yes,no,dsl,one year,86,yes
female,1,no,1,no,yes,fiber optic,one year,36,yes
male,0,no,31,yes,yes,fiber optic,one year,66,no
male,0,yes,16,yes,no,fiber optic,month-to-month,20,no
female,0,no,15,yes,no,dsl,month-to-month,20,no
female,0,yes,2,yes,yes,dsl,two year,94,yes
female,1,no,17,yes,no,dsl,month-to-month,93,no
male,0,yes,6,yes,yes,fiber optic,month-to-month,94,yes
female,0,yes,61,yes,no,dsl,two year,60,no
female,0,no,1,yes,no,dsl,two year,19,no
male,0,no,19,yes,yes,dsl,two year,88,no
male,0,yes,44,no,yes,fiber optic,two year,54,no
female,0,no,70,yes,yes,fiber optic,one year,112,no
male,0,yes,63,yes,yes,dsl,two year,25,no
female,0,yes,58,yes,no,dsl,month-to-month,44,no
female,0,no,53,yes,no,fiber optic,month-to-month,74,no
male,0,no,59,no,yes,fiber optic,month-to-month,44,no
male,0,no,69,yes,no,dsl,month-to-month,104,yes
male,0,no,26,yes,no,dsl,month-to-month,49,no
male,0,yes,23,yes,yes,fiber optic,month-to-month,57,no
female,0,no,42,yes,no,dsl,one year,55,no
female,1,no,1,yes,no,dsl,month-to-month,51,yes
female,0,no,6,no,no,dsl,two year,48,yes
male,0,no,58,yes,yes,fiber optic,month-to-month,21,no
male,0,no,3,yes,no,dsl,one year,102,yes
female,0,no,41,yes,no,dsl,month-to-month,20,no
female,0,no,58,yes,no,dsl,month-to-month,61,no
male,1,no,51,yes,no,dsl,month-to-month,94,yes
female,0,no,64,yes,no,dsl,month-to-month,111,no
female,0,yes,19,yes,yes,dsl,month-to-month,26,no
male,0,yes,60,yes,no,dsl,month-to-month,79,no
male,0,yes,69,yes,yes,dsl,two year,114,no
female,0,yes,3,yes,yes,dsl,month-to-month,81,no
male,0,no,7,yes,no,dsl,month-to-month,95,yes
female,0,no,19,yes,no,fiber optic,month-to-month,73,yes
female,0,no,1,yes,no,fiber optic,month-to-month,77,yes
female,0,no,62,yes,no,dsl,two year,24,no
female,0,no,1,yes,no,dsl,one year,50,yes
male,1,no,1,yes,yes,dsl,two year,74,yes
female,0,no,28,yes,no,fiber optic,month-to-month,60,no
male,0,no,69,yes,yes,fiber optic,month-to-month,92,no
male,1,no,30,yes,yes,dsl,one year,80,yes
female,1,no,40,no,no,dsl,one year,39,yes
female,0,no,1,yes,no,dsl,month-to-month,20,no
male,0,no,45,yes,no,dsl,two year,101,yes
male,0,yes,22,yes,no,dsl,one year,79,no
female,0,yes,47,yes,no,dsl,month-to-month,20,no
female,0,no,2,yes,yes,fiber optic,two year,20,no
female,0,no,13,no,no,dsl,one year,35,yes
female,0,no,20,yes,yes,fiber optic,one year,19,no
male,0,no,48,yes,yes,dsl,month-to-month,19,no
male,0,no,67,yes,no,dsl,month-to-month,101,no
male,0,no,70,yes,yes,fiber optic,month-to-month,99,no
female,0,no,64,yes,yes,dsl,two year,99,no
female,0,no,34,yes,no,dsl,month-to-month,98,yes
female,0,no,72,yes,no,dsl,month-to-month,91,no
female,0,yes,23,yes,no,dsl,month-to-month,70,no
female,1,no,15,yes,yes,dsl,two year,89,no
male,0,no,22,yes,yes,dsl,month-to-month,101,yes
male,0,yes,41,yes,no,dsl,two year,70,no
female,0,no,68,yes,yes,fiber optic,month-to-month,82,no
female,0,yes,70,yes,yes,dsl,two year,106,no
male,0,yes,71,yes,yes,fiber optic,month-to-month,87,no
male,0,yes,71,yes,yes,fiber optic,month-to-month,85,no
male,0,no,1,yes,no,dsl,month-to-month,44,no
male,0,no,1,yes,no,fiber optic,month-to-month,55,yes
male,0,yes,3,yes,no,dsl,month-to-month,21,no
female,0,no,40,yes,yes,fiber optic,one year,93,no
female,0,no,3,no,no,dsl,month-to-month,51,yes
female,0,no,67,yes,no,dsl,one year,26,no
female,0,no,18,yes,no,fiber optic,month-to-month,75,no
female,0,yes,20,yes,no,dsl,one year,20,no
female,0,no,3,yes,no,dsl,one year,74,yes
male,0,no,71,yes,no,dsl,two year,116,no
female,0,no,25,no,no,dsl,month-to-month,34,yes
female,1,no,32,yes,no,dsl,month-to-month,91,no
male,0,yes,46,yes,yes,dsl,one year,20,no
female,0,yes,68,yes,no,dsl,month-to-month,19,no
female,0,yes,48,yes,no,dsl,two year,80,no
female,0,yes,2,yes,yes,dsl,month-to-month,70,yes
male,0,no,56,yes,no,dsl,month-to-month,93,no
male,0,no,5,yes,no,dsl,two year,79,yes
female,0,no,3,yes,yes,fiber optic,month-to-month,75,no
female,0,yes,64,yes,yes,fiber optic,one year,93,no
male,0,yes,47,yes,no,fiber optic,month-to-month,90,no
male,0,no,63,yes,yes,fiber optic,two year,67,no
male,0,no,27,yes,yes,fiber optic,month-to-month,19,no
female,1,yes,47,yes,no,dsl,month-to-month,71,yes
female,0,no,59,yes,yes,fiber optic,month-to-month,24,no
male,0,yes,4,yes,no,fiber optic,month-to-month,19,no
female,0,no,72,yes,yes,fiber optic,month-to-month,115,no
female,0,no,13,yes,yes,fiber optic,month-to-month,55,no
male,1,yes,66,yes,yes,fiber optic,two year,108,no
female,0,no,42,yes,yes,dsl,month-to-month,21,no
female,0,no,10,yes,yes,fiber optic,month-to-month,20,no
female,1,no,15,yes,no,dsl,month-to-month,74,yes
female,0,no,45,yes,yes,fiber optic,month-to-month,95,no
female,0,no,48,yes,yes,dsl,one year,74,no
female,0,no,1,no,no,fiber optic,one year,25,no
female,0,no,27,yes,no,fiber optic,month-to-month,76,no
male,0,no,5,yes,no,dsl,one year,19,yes
male,0,yes,23,yes,no,dsl,month-to-month,87,no
male,1,yes,11,yes,yes,dsl,month-to-month,75,no
female,1,no,35,yes,yes,dsl,one year,102,no
male,0,no,67,yes,no,fiber optic,one year,89,no
male,0,yes,33,yes,no,dsl,two year,75,no
male,0,yes,72,yes,no,fiber optic,month-to-month,114,no
female,0,no,67,yes,no,dsl,one year,110,no
female,0,no,33,yes,yes,fiber optic,month-to-month,20,no
female,0,no,47,yes,no,dsl,two year,59,no
male,1,no,13,yes,yes,fiber optic,month-to-month,98,yes
male,0,yes,18,yes,no,dsl,two year,83,no
female,0,no,72,yes,yes,fiber optic,month-to-month,112,no
female,1,no,11,yes,yes,fiber optic,month-to-month,90,yes
male,1,no,7,no,no,dsl,two year,44,no
female,0,no,59,yes,no,dsl,two year,99,no
female,1,yes,32,yes,yes,fiber optic,month-to-month,100,no
female,0,no,67,yes,yes,fiber optic,month-to-month,25,no
female,0,no,51,yes,no,dsl,month-to-month,88,no
female,1,no,59,yes,yes,dsl,one year,94,no
female,0,yes,48,no,yes,fiber optic,month-to-month,39,no
female,1,no,1,yes,no,dsl,month-to-month,71,yes
male,0,no,23,yes,yes,fiber optic,two year,19,no
male,0,yes,38,yes,no,fiber optic,month-to-month,95,yes
male,0,yes,19,yes,yes,fiber optic,one year,20,no
male,1,no,3,yes,no,dsl,two year,76,yes
male,1,no,58,yes,yes,fiber optic,month-to-month,99,no
male,0,no,2,yes,yes,dsl,one year,50,no
male,0,no,5,yes,no,fiber optic,month-to-month,75,no
female,0,no,72,yes,no,dsl,month-to-month,101,no
female,1,no,44,yes,no,dsl,one year,110,no
male,0,no,16,yes,no,fiber optic,month-to-month,20,yes
male,0,no,12,no,no,dsl,two year,51,no
female,0,no,6,yes,yes,fiber optic,two year,90,yes
female,1,no,72,yes,no,dsl,month-to-month,108,no
female,0,no,23,yes,yes,fiber optic,month-to-month,25,no
male,0,no,38,yes,no,fiber optic,month-to-month,70,yes
male,0,no,47,yes,no,dsl,month-to-month,95,no
female,0,no,54,yes,no,dsl,two year,20,no
male,0,no,15,yes,no,fiber optic,two year,69,no
female,1,no,20,yes,yes,fiber optic,month-to-month,94,yes
female,0,yes,16,yes,yes,fiber optic,one year,73,no
male,0,no,1,yes,yes,dsl,month-to-month,69,yes
male,0,no,1,no,no,fiber optic,month-to-month,25,yes
